Country,LS,PWS,UPW,PC,LEIS,PWSMIN,UPWMIN,PCMIN,TWS,LEISMIN,OTHMIN,Dwellings without basic facilities,Housing expenditure,Rooms per person,Household net adjusted disposable income,Household net wealth,Labour market insecurity,Employment rate,Long-term unemployment rate,Personal earnings,Quality of support network,Educational attainment,Student skills,Years in education,Air pollution,Water quality,Stakeholder engagement for developing regulations,Voter turnout,Life expectancy,Self-reported health,Life satisfaction,Feeling safe walking alone at night,Homicide rate,Employees working very long hours,Time devoted to leisure and personal care
Australia,7.3,3.966666667,4.05,10.95,4.683333333,238,243,657,8.016666667,281,20,..,20,..,32759,427064,5.4,73,1.31,49126,95,81,502,21,5,93,2.7,91,82.5,85,7.3,63.5,1.1,13.04,14.35
Austria,7.1,5.1,3.366666667,10.53333333,4.85,306,202,632,8.466666667,291,8,0.9,21,1.6,33541,308325,3.5,72,1.84,50349,92,85,492,17,16,92,1.3,80,81.7,70,7.1,80.6,0.5,6.66,14.55
Belgium,6.9,3.933333333,3.2,11.06666667,5.65,236,192,664,7.133333333,339,9,1.9,21,2.2,30364,386006,3.7,63,3.54,49675,91,77,503,19.3,15,84,2,89,81.5,74,6.9,70.1,1,4.75,15.7
Canada,7.4,5.083333333,3.1,10.61666667,4.65,305,186,637,8.183333333,279,34,0.2,22,2.6,30854,423849,6,73,0.77,47622,93,91,523,17.3,7,91,2.9,68,81.9,88,7.4,82.2,1.3,3.69,14.56
Denmark,7.6,3.75,3.616666667,10.98333333,5.483333333,225,217,659,7.366666667,329,10,0.5,23,1.9,29606,118637,4.2,74,1.31,51466,95,81,504,19.5,9,95,2,86,80.9,71,7.6,83.5,0.6,2.34,15.87
Estonia,5.7,4.266666667,3.466666667,11.05,5.15,256,208,663,7.733333333,309,5,7,17,1.6,19697,159373,3.8,74,1.92,24336,92,89,524,17.7,8,84,2.7,64,77.8,53,5.7,69,3.1,2.42,14.9
Finland,7.6,3.816666667,3.283333333,10.66666667,5.516666667,229,197,640,7.1,331,43,0.5,23,1.9,29943,200827,3.9,70,2.13,42964,95,88,523,19.8,6,95,2.2,67,81.5,70,7.6,85.1,1.3,3.81,15.17
Germany,7,4.133333333,3.266666667,10.8,5.516666667,248,196,648,7.4,331,17,0.2,20,1.8,34294,259667,2.7,75,1.57,47585,90,87,508,18.1,14,91,1.8,76,81.1,65,7,72.5,0.5,4.26,15.62
Greece,5.4,3.8,3,11.41666667,5.683333333,228,180,685,6.8,341,6,0.5,23,1.2,17700,150134,29.8,53,15.65,26064,80,73,458,19,18,69,1.8,64,81.5,74,5.4,60,0.8,6.42,..
Iceland,7.5,3.966666667,3.816666667,11.38333333,4.683333333,238,229,683,7.783333333,281,9,0,24,1.6,31929,..,0.7,86,0.26,61787,98,77,481,19,3,99,2.1,79,82.3,76,7.5,86,0.5,15.06,..
Ireland,7,4.466666667,3.5,10.15,5.2,268,210,609,7.966666667,312,41,1,20,2.1,25310,217130,7.8,67,3.23,47653,95,82,509,18.1,7,85,1.3,65,81.8,83,7,75.9,0.7,5.25,..
Italy,6,2.95,3.65,11.8,5.383333333,177,219,708,6.6,323,13,0.7,23,1.4,26588,279889,12.3,58,6.59,36658,92,61,485,16.6,18,71,2.5,73,83.3,71,6,58.4,0.6,4.11,16.47
Japan,5.9,6.05,2.2,10.33333333,4.633333333,363,132,620,8.25,278,47,6.4,22,1.9,29798,305878,1.4,75,1.03,40863,89,..,529,16.4,14,87,1.4,53,84.1,36,5.9,72.5,0.2,..,..
Korea,5.9,5.733333333,2.2,11.3,4.3,344,132,678,7.933333333,258,28,2.5,15,1.5,21882,285980,2.6,67,0.05,35191,78,88,519,17.3,28,76,2.9,77,82.4,33,5.9,66.6,1,..,14.7
Latvia,5.9,5.5,3.266666667,10.68333333,4.483333333,330,196,641,8.766666667,269,4,13.9,23,1.2,16275,70160,9.6,70,3.35,23683,86,88,487,18,11,79,2.2,59,74.7,47,5.9,62.4,4.8,1.27,13.83
Lithuania,5.9,5.25,3.733333333,10.76666667,4.116666667,315,224,646,8.983333333,247,8,13.6,19,1.5,21660,..,..,70,2.69,24287,88,93,475,18.4,14,81,2.4,51,74.8,43,5.9,55.9,3.4,0.54,..
Luxembourg,6.9,4.75,2.983333333,11.43333333,4.6,285,179,686,7.733333333,276,14,0.5,21,1.9,39264,769053,1.7,66,2.35,63062,93,77,483,15.1,12,84,1.7,91,82.8,69,6.9,75.8,0.6,3.82,..
Mexico,6.5,5.816666667,4.4,10.56666667,2.866666667,349,264,634,10.21666667,172,21,25.5,20,1,13965,105745,5.5,61,0.07,15314,81,38,416,15.2,16,68,3.2,63,75.4,66,6.5,41.8,18.1,28.7,..
Netherlands,7.4,4.05,3.1,11.36666667,5.25,243,186,682,7.15,315,15,0.1,19,1.9,29333,157824,4.8,76,1.97,52877,91,78,508,18.7,14,93,2.6,82,81.6,76,7.4,82,0.6,0.42,..
New Zealand,7.3,4.5,3.4,10.8,5.016666667,270,204,648,7.9,301,17,..,26,2.4,25074,388514,4.7,77,0.74,40043,96,79,506,17.7,5,89,2.5,80,81.7,88,7.3,65.7,1.3,15.11,14.87
Norway,7.6,4.016666667,3.266666667,10.45,6.133333333,241,196,627,7.283333333,368,7,0,17,2.1,35725,228936,..,74,0.66,51212,94,82,504,18.3,5,98,2.2,78,82.5,77,7.6,90.1,0.4,2.93,15.56
Poland,6.1,4.333333333,3.766666667,10.95,4.766666667,260,226,657,8.1,286,11,3,22,1.1,19814,210991,5.7,66,1.52,27046,86,92,504,17.6,22,82,2.6,55,78,58,6.1,67.3,0.7,5.95,14.42
Portugal,5.4,4.916666667,3.716666667,11.26666667,4.016666667,295,223,676,8.633333333,241,6,1,21,1.7,21203,232666,10,68,4.43,25367,88,48,497,16.9,10,86,1.5,56,81.2,48,5.4,73.4,1,8.27,..
Slovenia,5.9,4.416666667,3.85,10.46666667,5.183333333,265,231,628,8.266666667,311,6,0.4,18,1.5,20820,203044,5.8,69,3.17,34933,92,88,509,18.3,16,90,2.5,53,81.3,64,5.9,86.1,0.6,4.39,14.75
Spain,6.3,3.366666667,3.616666667,11.53333333,5.266666667,202,217,692,6.983333333,316,13,0.1,21,1.9,23999,373548,23.1,62,7.66,38507,93,59,491,17.9,11,72,1.8,70,83.4,72,6.3,82.1,0.6,4.01,15.93
Sweden,7.3,4.883333333,3.266666667,10.36666667,5.35,293,196,622,8.15,321,6,0,19,1.7,31287,,3.2,77,1.12,42393,91,83,496,19.3,6,96,2,86,82.4,75,7.3,75.6,0.9,1.07,15.18
Turkey,5.5,4.1,3.1,11.36666667,4.766666667,246,186,682,7.2,286,40,8,20,1,18302,4429,12.5,52,2.39,3060,86,39,425,18.3,20,65,1.5,86,78,69,5.5,59.8,1.4,32.64,14.79
United Kingdom,6.8,4.366666667,3.25,10.75,5.1,262,195,645,7.616666667,306,32,0.3,26,1.9,28715,548392,4.5,75,1.13,43732,94,81,500,17.5,11,84,3.1,69,81.2,69,6.8,77.7,0.2,12.15,14.92
